Train Loss: tensor(3.5425, device='cuda:0')
Train Loss: tensor(3.8387, device='cuda:0')
Train Loss: tensor(3.2346, device='cuda:0')
Train Loss: tensor(3.5268, device='cuda:0')
Train Loss: tensor(3.2188, device='cuda:0')
Train Loss: tensor(3.6760, device='cuda:0')
Train Loss: tensor(3.4400, device='cuda:0')
Train Loss: tensor(3.2440, device='cuda:0')
Train Loss: tensor(4.0799, device='cuda:0')
Train Loss: tensor(3.9094, device='cuda:0')
Train Loss: tensor(3.1608, device='cuda:0')
Train Loss: tensor(2.5701, device='cuda:0')
Train Loss: tensor(2.7081, device='cuda:0')
Train Loss: tensor(2.7377, device='cuda:0')
train Loss: 3.4831 Prec: 0.4426EPOCH complete in 33m 40sval Loss: 6.4967 Prec: 0.3902EPOCH complete in 34m 32sEpoch 8/19----------Train Loss: tensor(2.5283, device='cuda:0')
Train Loss: tensor(2.9477, device='cuda:0')
Train Loss: tensor(3.7216, device='cuda:0')
Train Loss: tensor(2.9796, device='cuda:0')
Train Loss: tensor(2.9983, device='cuda:0')
Train Loss: tensor(3.3565, device='cuda:0')
Train Loss: tensor(3.4046, device='cuda:0')
Train Loss: tensor(3.4598, device='cuda:0')
Train Loss: tensor(3.4003, device='cuda:0')
Train Loss: tensor(3.3555, device='cuda:0')
Train Loss: tensor(3.3369, device='cuda:0')
Train Loss: tensor(3.7939, device='cuda:0')
Train Loss: tensor(3.6522, device='cuda:0')
Train Loss: tensor(3.6782, device='cuda:0')
Train Loss: tensor(3.3993, device='cuda:0')
Train Loss: tensor(3.9176, device='cuda:0')
Train Loss: tensor(3.7638, device='cuda:0')
Train Loss: tensor(3.4844, device='cuda:0')
Train Loss: tensor(3.4660, device='cuda:0')
Train Loss: tensor(3.4712, device='cuda:0')
Train Loss: tensor(3.8080, device='cuda:0')
Train Loss: tensor(3.1900, device='cuda:0')
Train Loss: tensor(3.6402, device='cuda:0')
Train Loss: tensor(3.2125, device='cuda:0')
Train Loss: tensor(3.5185, device='cuda:0')
Train Loss: tensor(3.6907, device='cuda:0')
Train Loss: tensor(3.4388, device='cuda:0')
Train Loss: tensor(3.2156, device='cuda:0')
Train Loss: tensor(3.4435, device='cuda:0')
Train Loss: tensor(3.2625, device='cuda:0')
Train Loss: tensor(3.0990, device='cuda:0')
Train Loss: tensor(3.5973, device='cuda:0')
Train Loss: tensor(2.7309, device='cuda:0')
Train Loss: tensor(3.2663, device='cuda:0')
Train Loss: tensor(3.5870, device='cuda:0')
Train Loss: tensor(4.2704, device='cuda:0')
Train Loss: tensor(4.0179, device='cuda:0')
Train Loss: tensor(3.3775, device='cuda:0')
Train Loss: tensor(4.0769, device='cuda:0')
Train Loss: tensor(3.5741, device='cuda:0')
Train Loss: tensor(3.6432, device='cuda:0')
Train Loss: tensor(3.1775, device='cuda:0')
Train Loss: tensor(3.1219, device='cuda:0')
Train Loss: tensor(3.0458, device='cuda:0')
Train Loss: tensor(3.7931, device='cuda:0')
Train Loss: tensor(3.4542, device='cuda:0')
Train Loss: tensor(3.2114, device='cuda:0')
Train Loss: tensor(4.0808, device='cuda:0')
Train Loss: tensor(3.8936, device='cuda:0')
Train Loss: tensor(3.0646, device='cuda:0')
Train Loss: tensor(2.6931, device='cuda:0')
Train Loss: tensor(2.8187, device='cuda:0')
Train Loss: tensor(2.5258, device='cuda:0')
train Loss: 3.4086 Prec: 0.5789EPOCH complete in 37m 50sval Loss: 6.3686 Prec: 0.3394EPOCH complete in 38m 42sEpoch 9/19----------Train Loss: tensor(2.4266, device='cuda:0')
Train Loss: tensor(2.9440, device='cuda:0')
Train Loss: tensor(3.6281, device='cuda:0')
Train Loss: tensor(2.8691, device='cuda:0')
Train Loss: tensor(2.9640, device='cuda:0')
Train Loss: tensor(3.4654, device='cuda:0')
Train Loss: tensor(3.6390, device='cuda:0')
Train Loss: tensor(3.6067, device='cuda:0')
Train Loss: tensor(3.5158, device='cuda:0')
Train Loss: tensor(3.2282, device='cuda:0')
Train Loss: tensor(3.4059, device='cuda:0')
Train Loss: tensor(3.7579, device='cuda:0')
Train Loss: tensor(3.5854, device='cuda:0')
Train Loss: tensor(3.4879, device='cuda:0')
Train Loss: tensor(3.3139, device='cuda:0')
Train Loss: tensor(3.8648, device='cuda:0')
Train Loss: tensor(3.5928, device='cuda:0')
Train Loss: tensor(3.4148, device='cuda:0')
Train Loss: tensor(3.3351, device='cuda:0')
Train Loss: tensor(3.6591, device='cuda:0')
